Thu Mar 29 18:47:30 2018, Humidity,T in C,T in F,mS1,mS2,mS3,mS4,mS5,mS6,mS7,mS8,mS9,mS10,mS11,mS12,mS13,mS14,mS15,mS16,p1,p2,p3,p4
Thu Mar 29 18:52:31 2018, 48.60,24.30,75.74,795,817,888,889,891,867,887,893,890,888,899,888,644,907,912,885,0,0,0,0,
Thu Mar 29 18:57:31 2018, 48.70,24.30,75.74,795,817,888,889,892,867,887,893,888,888,898,887,652,908,911,886,0,0,0,0,
Thu Mar 29 19:02:31 2018, 48.70,24.20,75.56,795,817,888,889,892,866,887,893,889,888,898,887,656,908,912,885,0,0,0,0,
Thu Mar 29 19:07:31 2018, 48.70,24.30,75.74,795,816,888,889,892,868,887,893,890,888,898,887,656,908,911,885,0,0,0,0,
Thu Mar 29 19:12:31 2018, 48.60,24.20,75.56,796,816,888,889,892,868,887,894,890,888,898,887,654,909,912,884,0,0,0,0,
Thu Mar 29 19:17:31 2018, 48.60,24.20,75.56,796,816,888,890,891,868,888,894,889,888,898,887,650,908,912,884,0,0,0,0,
Thu Mar 29 19:22:31 2018, 48.60,24.20,75.56,795,816,888,890,891,868,887,894,890,888,898,887,659,908,911,885,0,0,0,0,
Thu Mar 29 19:27:31 2018, 48.80,24.20,75.56,796,817,888,890,891,868,887,894,889,888,898,887,658,907,912,885,0,0,0,0,
Thu Mar 29 19:32:31 2018, 49.10,24.20,75.56,796,817,889,889,892,868,888,894,889,888,898,887,665,908,912,885,0,0,0,0,
Thu Mar 29 19:37:32 2018, 49.40,24.20,75.56,796,817,889,889,892,868,887,894,890,888,897,887,668,908,912,885,0,0,0,0,
Thu Mar 29 19:42:32 2018, 49.70,24.20,75.56,796,816,888,890,892,868,887,894,890,888,897,888,664,908,911,884,0,0,0,0,
Thu Mar 29 19:47:32 2018, 50.00,24.20,75.56,796,817,888,890,892,868,888,893,890,888,896,887,666,908,912,885,0,0,0,0,
Thu Mar 29 19:52:32 2018, 50.40,24.30,75.74,796,817,888,890,891,868,887,894,889,888,898,886,663,908,912,885,0,0,0,0,
Thu Mar 29 19:57:32 2018, 50.80,24.30,75.74,796,816,888,890,891,868,887,894,889,889,897,886,663,908,912,885,0,0,0,0,
Thu Mar 29 20:02:32 2018, 51.20,24.30,75.74,796,816,888,889,892,869,887,894,889,888,897,887,665,908,913,885,0,0,0,0,
Thu Mar 29 20:07:32 2018, 51.60,24.30,75.74,795,817,889,889,892,869,888,894,888,888,897,887,665,908,912,885,0,0,0,0,
Thu Mar 29 20:12:32 2018, 52.10,24.30,75.74,795,816,889,889,892,869,887,894,889,888,897,887,687,909,912,884,0,0,0,0,
Thu Mar 29 20:17:32 2018, 52.50,24.30,75.74,795,817,889,889,892,869,887,893,889,889,897,887,687,908,912,885,0,0,0,0,
Thu Mar 29 20:22:32 2018, 52.80,24.30,75.74,796,816,889,890,892,868,887,894,889,888,897,887,694,908,912,885,0,0,0,0,
Thu Mar 29 20:27:32 2018, 53.30,24.30,75.74,796,816,888,889,891,869,887,894,889,888,897,887,689,907,912,885,0,0,0,0,
Thu Mar 29 20:32:33 2018, 53.60,24.30,75.74,796,816,889,889,892,869,888,894,890,887,897,888,689,908,912,885,0,0,0,0,
Thu Mar 29 20:37:33 2018, 53.90,24.30,75.74,796,817,888,890,892,869,888,894,889,888,898,887,690,908,912,885,0,0,0,0,
Thu Mar 29 20:42:33 2018, 54.20,24.30,75.74,796,817,888,890,891,869,888,894,889,888,897,886,689,908,912,885,0,0,0,0,
Thu Mar 29 20:47:33 2018, 55.80,24.30,75.74,796,817,888,890,892,869,887,894,889,888,897,887,661,907,912,885,0,0,0,0,
Thu Mar 29 20:52:33 2018, 56.20,24.30,75.74,795,816,888,890,892,868,887,894,889,888,897,887,663,908,912,885,0,0,0,0,
Thu Mar 29 20:57:33 2018, 56.40,24.30,75.74,796,817,889,889,892,869,887,894,889,888,897,887,671,908,912,885,0,0,0,0,
Thu Mar 29 21:02:33 2018, 57.40,24.30,75.74,795,817,889,889,892,869,887,894,889,888,897,887,676,907,911,885,0,0,0,0,
Thu Mar 29 21:07:33 2018, 57.40,24.30,75.74,796,817,889,889,892,869,887,894,889,887,896,887,680,908,912,885,0,0,0,0,
Thu Mar 29 21:12:33 2018, 57.30,24.30,75.74,797,816,888,889,892,869,886,894,890,889,897,887,685,908,911,885,0,0,0,0,
Thu Mar 29 21:17:33 2018, 57.00,24.30,75.74,796,816,889,889,891,869,887,894,889,888,897,887,685,908,912,885,0,0,0,0,
Thu Mar 29 21:22:33 2018, 56.80,24.30,75.74,796,817,888,890,891,870,887,894,889,888,897,887,686,908,912,885,0,0,0,0,
Thu Mar 29 21:27:33 2018, 56.80,24.30,75.74,796,817,889,889,892,869,887,894,889,888,897,887,685,908,912,884,0,0,0,0,
Thu Mar 29 21:32:33 2018, 56.30,24.30,75.74,796,816,887,890,891,870,887,894,889,888,897,887,692,908,911,886,0,0,0,0,
